player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,ops_present,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position,ops_future
Rafael Devers*,28.0,2TM,2LG,4.3,163.0,729.0,607.0,99.0,153.0,35.0,109.0,1.0,112.0,192.0,0.372,0.479,0.851,141.0,291.0,0.0,4.0,*D3/5H,0.729
Rafael Devers*,28.0,BOS,AL,2.4,73.0,334.0,272.0,47.0,74.0,15.0,58.0,1.0,56.0,76.0,0.401,0.504,0.905,153.0,137.0,0.0,2.0,D,0.729
Rafael Devers*,28.0,SFG,NL,1.9,90.0,395.0,335.0,52.0,79.0,20.0,51.0,0.0,56.0,116.0,0.347,0.46,0.807,130.0,154.0,0.0,2.0,D3/5H,0.729
Shohei Ohtani*,30.0,LAD,NL,6.6,158.0,727.0,611.0,146.0,172.0,55.0,102.0,20.0,109.0,187.0,0.392,0.622,1.014,179.0,380.0,0.0,2.0,*D1,0.963
Matt Olson*,31.0,ATL,NL,6.2,162.0,724.0,624.0,98.0,170.0,29.0,95.0,1.0,91.0,176.0,0.366,0.484,0.85,137.0,302.0,0.0,5.0,*3,0.87
Kyle Schwarber*,32.0,PHI,NL,4.6,162.0,724.0,604.0,111.0,145.0,56.0,132.0,10.0,108.0,197.0,0.365,0.563,0.928,149.0,340.0,0.0,1.0,*D/7,0.963
Geraldo Perdomo#,25.0,ARI,NL,7.1,161.0,720.0,597.0,98.0,173.0,20.0,100.0,27.0,94.0,83.0,0.389,0.462,0.851,137.0,276.0,8.0,11.0,*6/H,0.687
Juan Soto*,26.0,NYM,NL,6.1,160.0,715.0,577.0,120.0,152.0,43.0,105.0,38.0,127.0,137.0,0.396,0.525,0.921,159.0,303.0,1.0,6.0,*9/D,0.966
Julio Rodríguez,24.0,SEA,AL,6.6,160.0,710.0,652.0,106.0,174.0,32.0,95.0,30.0,44.0,152.0,0.324,0.474,0.798,127.0,309.0,0.0,2.0,*8/DH,0.731
Pete Alonso,30.0,NYM,NL,3.3,162.0,709.0,624.0,87.0,170.0,38.0,126.0,1.0,61.0,162.0,0.347,0.524,0.871,143.0,327.0,0.0,9.0,*3/D,0.815
Randy Arozarena,30.0,SEA,AL,3.9,160.0,709.0,613.0,95.0,146.0,27.0,76.0,31.0,64.0,191.0,0.334,0.426,0.76,118.0,261.0,0.0,5.0,*7/D,0.806
Elly De La Cruz#,23.0,CIN,NL,3.6,162.0,699.0,629.0,102.0,166.0,22.0,86.0,37.0,67.0,181.0,0.336,0.44,0.777,111.0,277.0,0.0,1.0,*6/DH,0.844
Jarren Duran*,28.0,BOS,AL,4.9,157.0,696.0,620.0,86.0,159.0,16.0,84.0,24.0,60.0,169.0,0.332,0.442,0.774,116.0,274.0,1.0,3.0,*78/H9D,0.624
Steven Kwan*,27.0,CLE,AL,3.8,156.0,693.0,625.0,81.0,170.0,11.0,56.0,21.0,55.0,60.0,0.33,0.374,0.705,97.0,234.0,3.0,7.0,*7/D8,0.581
Fernando Tatis Jr.,26.0,SDP,NL,6.1,155.0,691.0,594.0,111.0,159.0,25.0,71.0,32.0,89.0,129.0,0.368,0.446,0.814,128.0,265.0,0.0,2.0,*9/D,0.714
James Wood*,22.0,WSN,NL,3.6,157.0,689.0,598.0,87.0,153.0,31.0,94.0,15.0,85.0,221.0,0.35,0.475,0.825,131.0,284.0,0.0,3.0,*7D/H,0.896
Bobby Witt Jr.,25.0,KCR,AL,7.1,157.0,687.0,623.0,99.0,184.0,23.0,88.0,38.0,49.0,125.0,0.351,0.501,0.852,137.0,312.0,0.0,7.0,*6/D,0.833
Willy Adames,29.0,SFG,NL,3.7,160.0,686.0,591.0,94.0,133.0,30.0,87.0,12.0,80.0,179.0,0.318,0.421,0.74,111.0,249.0,0.0,9.0,*6/D,0.697
Vinnie Pasquantino*,27.0,KCR,AL,2.4,160.0,682.0,621.0,72.0,164.0,32.0,113.0,1.0,49.0,107.0,0.323,0.475,0.798,121.0,295.0,0.0,5.0,*3D,0.66
Vladimir Guerrero Jr.,26.0,TOR,AL,4.6,156.0,680.0,589.0,96.0,172.0,23.0,84.0,6.0,81.0,94.0,0.381,0.467,0.848,131.0,275.0,0.0,4.0,*3D/H,0.714
Aaron Judge,33.0,NYY,AL,9.7,152.0,679.0,541.0,137.0,179.0,53.0,114.0,12.0,124.0,160.0,0.457,0.688,1.144,213.0,372.0,0.0,7.0,9D/H,0.907
Manny Machado,32.0,SDP,NL,4.2,159.0,678.0,615.0,91.0,169.0,27.0,95.0,14.0,55.0,131.0,0.335,0.46,0.795,121.0,283.0,0.0,5.0,*5D,0.645
Luis Arraez*,28.0,SDP,NL,1.4,154.0,675.0,620.0,66.0,181.0,8.0,61.0,11.0,34.0,21.0,0.327,0.392,0.719,102.0,243.0,12.0,7.0,*3D4/H,0.803
José Ramírez#,32.0,CLE,AL,5.9,158.0,673.0,593.0,103.0,168.0,30.0,85.0,44.0,66.0,74.0,0.36,0.503,0.863,138.0,298.0,0.0,5.0,*5D,0.757
Ozzie Albies#,28.0,ATL,NL,2.3,157.0,667.0,603.0,74.0,145.0,16.0,74.0,14.0,55.0,94.0,0.306,0.365,0.671,88.0,220.0,0.0,5.0,*4,0.779
Maikel Garcia,25.0,KCR,AL,5.8,160.0,666.0,595.0,81.0,170.0,16.0,74.0,23.0,62.0,84.0,0.351,0.449,0.8,124.0,267.0,3.0,5.0,*564/8DH9,0.693
Ian Happ#,30.0,CHC,NL,4.0,150.0,663.0,569.0,87.0,138.0,23.0,79.0,6.0,87.0,151.0,0.342,0.42,0.762,118.0,239.0,0.0,5.0,*7/DH,0.8
Taylor Ward,31.0,LAA,AL,3.0,157.0,663.0,579.0,86.0,132.0,36.0,103.0,4.0,75.0,175.0,0.317,0.475,0.792,119.0,275.0,0.0,6.0,*7/DH,0.754
William Contreras,27.0,MIL,NL,3.8,150.0,659.0,566.0,89.0,147.0,17.0,76.0,6.0,84.0,120.0,0.355,0.399,0.754,110.0,226.0,0.0,6.0,*2D/37,0.792
Brice Turang*,25.0,MIL,NL,5.5,156.0,659.0,584.0,97.0,168.0,18.0,81.0,24.0,66.0,150.0,0.359,0.435,0.794,120.0,254.0,2.0,5.0,*4/H6,0.831
Cody Bellinger*,29.0,NYY,AL,5.0,152.0,656.0,588.0,89.0,160.0,29.0,98.0,13.0,57.0,90.0,0.334,0.48,0.813,123.0,282.0,0.0,9.0,*798/3H,0.823
Riley Greene*,24.0,DET,AL,2.2,157.0,655.0,600.0,84.0,155.0,36.0,111.0,2.0,46.0,201.0,0.313,0.493,0.806,121.0,296.0,0.0,5.0,*7D8/H9,0.826
Jose Altuve,35.0,HOU,AL,0.6,155.0,654.0,588.0,80.0,156.0,26.0,77.0,10.0,55.0,109.0,0.329,0.442,0.771,113.0,260.0,1.0,6.0,4D7/H,0.7
J.P. Crawford*,30.0,SEA,AL,3.6,157.0,654.0,570.0,69.0,151.0,12.0,58.0,8.0,74.0,122.0,0.352,0.37,0.722,110.0,211.0,6.0,1.0,*6/H,0.726
Bryan Reynolds#,30.0,PIT,NL,1.3,154.0,654.0,587.0,68.0,144.0,16.0,73.0,3.0,57.0,173.0,0.318,0.402,0.72,98.0,236.0,0.0,3.0,*9D/H,0.89
Junior Caminero,21.0,TBR,AL,4.3,154.0,653.0,602.0,93.0,159.0,45.0,110.0,7.0,41.0,125.0,0.311,0.535,0.846,130.0,322.0,0.0,7.0,*5/DH3,0.896
Brandon Nimmo*,32.0,NYM,NL,2.8,155.0,652.0,587.0,81.0,154.0,25.0,92.0,13.0,50.0,141.0,0.324,0.436,0.76,113.0,256.0,1.0,7.0,*7/8DH,0.757
Yandy Díaz,33.0,TBR,AL,3.3,150.0,651.0,583.0,79.0,175.0,25.0,83.0,3.0,57.0,92.0,0.366,0.482,0.848,135.0,281.0,0.0,5.0,*D3,0.924
Gunnar Henderson*,24.0,BAL,AL,5.4,154.0,651.0,577.0,85.0,158.0,17.0,68.0,30.0,62.0,137.0,0.349,0.438,0.787,121.0,253.0,0.0,5.0,*6/DH,0.723
Seiya Suzuki,30.0,CHC,NL,2.6,151.0,651.0,571.0,75.0,140.0,32.0,103.0,5.0,71.0,164.0,0.326,0.478,0.804,128.0,273.0,0.0,8.0,D97/H8,0.774
Nico Hoerner,28.0,CHC,NL,6.2,156.0,649.0,599.0,89.0,178.0,7.0,61.0,29.0,39.0,49.0,0.345,0.394,0.739,112.0,236.0,0.0,4.0,*4/6,0.659
Spencer Torkelson,25.0,DET,AL,2.4,155.0,649.0,563.0,82.0,135.0,31.0,78.0,2.0,72.0,169.0,0.333,0.456,0.789,118.0,257.0,0.0,5.0,*3D/H,0.714
Pete Crow-Armstrong*,23.0,CHC,NL,5.9,157.0,647.0,591.0,91.0,146.0,31.0,95.0,35.0,29.0,155.0,0.287,0.481,0.768,116.0,284.0,6.0,12.0,*8/HD,0.888
Dansby Swanson,31.0,CHC,NL,4.5,159.0,645.0,590.0,84.0,144.0,24.0,77.0,20.0,47.0,168.0,0.3,0.417,0.717,104.0,246.0,1.0,5.0,*6,0.678
Corbin Carroll*,24.0,ARI,NL,5.8,143.0,642.0,564.0,107.0,146.0,31.0,84.0,32.0,67.0,153.0,0.343,0.541,0.883,141.0,305.0,0.0,4.0,*9/8DH,0.901
Michael Harris II*,24.0,ATL,NL,2.3,160.0,641.0,611.0,55.0,152.0,20.0,86.0,20.0,16.0,128.0,0.268,0.409,0.678,87.0,250.0,4.0,7.0,*8/H,0.85
Salvador Perez,35.0,KCR,AL,0.5,155.0,641.0,597.0,54.0,141.0,30.0,100.0,0.0,28.0,125.0,0.284,0.446,0.729,101.0,266.0,0.0,1.0,2D3,0.576
Christian Walker,34.0,HOU,AL,0.3,154.0,640.0,585.0,72.0,139.0,27.0,88.0,2.0,40.0,177.0,0.297,0.421,0.717,98.0,246.0,0.0,4.0,*3/DH,0.769
Trea Turner,32.0,PHI,NL,5.4,141.0,639.0,589.0,94.0,179.0,15.0,69.0,36.0,43.0,107.0,0.355,0.457,0.812,120.0,269.0,0.0,2.0,*6/DH,0.618
CJ Abrams*,24.0,WSN,NL,3.3,144.0,635.0,580.0,92.0,149.0,19.0,60.0,31.0,37.0,125.0,0.315,0.433,0.748,110.0,251.0,1.0,3.0,*6/HD,0.897
Bo Bichette,27.0,TOR,AL,3.4,139.0,628.0,582.0,78.0,181.0,18.0,94.0,4.0,40.0,91.0,0.357,0.483,0.84,127.0,281.0,0.0,3.0,*6/DH,0.688
Freddie Freeman*,35.0,LAD,NL,3.5,147.0,627.0,556.0,81.0,164.0,24.0,90.0,6.0,60.0,128.0,0.367,0.502,0.869,141.0,279.0,0.0,5.0,*3/H,0.859
Andy Pages,24.0,LAD,NL,3.7,156.0,624.0,581.0,74.0,158.0,27.0,86.0,14.0,29.0,135.0,0.313,0.461,0.774,114.0,268.0,0.0,6.0,*897,0.792
Tyler Soderstrom*,23.0,ATH,AL,3.8,158.0,624.0,561.0,75.0,155.0,25.0,93.0,8.0,55.0,141.0,0.346,0.474,0.82,124.0,266.0,0.0,2.0,73H/D,0.812
Xavier Edwards#,25.0,MIA,NL,3.3,139.0,619.0,561.0,75.0,159.0,3.0,43.0,27.0,49.0,88.0,0.343,0.353,0.695,97.0,198.0,3.0,3.0,46/HD,0.799
