pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-09-22,87.6,-2.07,5.79,"Cruz, Oneil",665833,669467,walk,ball,,,,,13.0,Oneil Cruz walks.,R,L,R,PIT,STL,B,,,3,2,2026,0.29,-0.24,-0.4283764763734523,1.091410919165258,,,,1,6,Bot,,,,,,,3.33061113177608,-127.58918987442834,-4.487315813849123,2.514337533155351,26.1632174604916,-34.10708091419653,3.515764436,1.774311024,,,,88.3,2417.0,6.6,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.86,,0.698418,0.7,1.0,0.0,0.0,,41,6,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,114.0,0.031,0.339,,,,,-0.339,,0,0,0.547,0.547,27,27,28,28,3,2,7.0,2.0,,,3.21,-0.29,0.29,49.5,,,,,
FS,2026-09-22,90.3,-2.0,5.72,"Cruz, Oneil",665833,669467,,ball,,,,,13.0,,R,L,R,PIT,STL,B,,,2,2,2026,-1.21,-0.2,-1.1050082024177417,1.045848414845334,,,,1,6,Bot,,,,,,,4.845311268819499,-131.38301684823355,-4.993382612176433,-15.04881583946426,28.69807871375846,-33.55375316842206,3.515764436,1.774311024,,,,90.5,1376.0,6.5,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.04,,,,,,,,41,5,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,237.0,0.009,0.112,,,,,-0.112,,0,0,0.538,0.538,27,27,28,28,3,2,7.0,2.0,,,3.0,1.21,-1.21,45.9,,,,,
KC,2026-09-22,78.0,-1.91,5.81,"Cruz, Oneil",665833,669467,,swinging_strike,,,,,14.0,,R,L,R,PIT,STL,S,,,2,1,2026,0.47,-1.57,0.0764852397027216,1.4735931801380655,,,,1,6,Bot,,,,,,,3.321100086446915,-113.44157695105984,0.9153557836410288,3.293871772613248,25.152949046975444,-45.979018658183946,3.515764436,1.774311024,,,,77.4,2710.0,6.4,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.12,,,,,,,,41,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,21.0,-0.008,-0.075,39.6,8.0,0.36746964,,0.075,,0,0,0.546,0.546,27,27,28,28,3,2,7.0,2.0,,,5.39,-0.47,0.47,51.9,11.870462702811473,-12.648942972316798,36.882688687010976,34.1916914130634,41.41530486656083
FF,2026-09-22,93.7,-1.9,5.95,"Cruz, Oneil",665833,669467,,ball,,,,,12.0,,R,L,R,PIT,STL,B,,,1,1,2026,-0.09,0.67,1.0339014040238106,3.0976765734498497,,,,1,6,Bot,,,,,,,7.682195720110357,-136.17032653805376,-2.911843414545213,-2.871929019836043,31.50361910589295,-23.384025604079216,3.515764436,1.774311024,,,,93.6,2205.0,6.4,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.05,,,,,,,,41,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,194.0,0.005,0.056,,,,,-0.056,,0,0,0.541,0.541,27,27,28,28,3,2,7.0,2.0,,,1.94,0.09,-0.09,52.6,,,,,
FS,2026-09-22,90.0,-2.08,5.75,"Cruz, Oneil",665833,669467,,ball,,,,,13.0,,R,L,R,PIT,STL,B,,,0,1,2026,-1.27,0.13,-1.0695665561088672,0.5568956413382846,,,,1,6,Bot,,,,,,,5.1958890402105125,-130.8860832067084,-6.865933563425419,-15.673181412673312,29.16719602548105,-29.4066247005301,3.515764436,1.774311024,,,,89.7,1497.0,6.2,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.25,,,,,,,,41,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,244.0,0.003,0.032,,,,,-0.032,,0,0,0.538,0.538,27,27,28,28,3,2,7.0,2.0,,,2.7,1.27,-1.27,45.1,,,,,
SL,2026-09-22,88.7,-2.08,5.84,"Cruz, Oneil",665833,669467,,called_strike,,,,,5.0,,R,L,R,PIT,STL,S,,,0,0,2026,0.42,0.68,-0.2353274263828195,2.9680759499478677,,,,1,6,Bot,,,,,,,3.540152531494196,-129.19705337156572,-2.208528230079493,3.972459470006676,27.86809764436605,-24.297619588540428,3.515764436,1.774311024,,,,88.6,2399.0,6.2,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.26,,,,,,,,41,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,145.0,-0.004,-0.041,,,,,0.041,,0,0,0.542,0.542,27,27,28,28,3,2,7.0,2.0,,,2.22,-0.42,0.42,45.8,,,,,
KC,2026-09-22,77.0,-1.92,5.87,"Cruz, Oneil",665833,669467,field_out,hit_into_play,,,,,13.0,"Cardinals challenged (play at 1st), call on the field was overturned: Oneil Cruz grounds out, pitcher Andre Pallante to first baseman Alec Burleson. Bryan Reynolds to 2nd.",R,L,R,PIT,STL,X,1.0,ground_ball,1,1,2026,0.14,-1.43,-0.3693649250155483,1.440746182693755,,,668804.0,1,4,Bot,134.07,191.71,,,,,2.986957725347865,-112.00876462025384,0.5299803298243482,0.6315922464232756,21.79775808666461,-44.46540300170391,3.515764436,1.774311024,1.0,66.1,-69.0,76.8,2763.0,6.4,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.13,0.282,0.254,0.0,1.0,0.0,0.0,2.0,25,3,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,23.0,-0.019,-0.309,75.1,8.1,,0.285,0.309,88.0,0,0,0.561,0.561,27,27,28,28,2,1,7.0,2.0,,,5.3,-0.14,0.14,54.3,20.5519787035523,-16.58876124472315,32.957554975559304,39.23790108495373,42.87938804670912
FS,2026-09-22,89.0,-1.91,5.72,"Cruz, Oneil",665833,669467,,blocked_ball,,,,,13.0,,R,L,R,PIT,STL,B,,,0,1,2026,-1.1,-0.2,-0.1289553038239514,0.3088191226973209,,,668804.0,1,4,Bot,,,,,,,6.656936579746801,-129.33499528287237,-6.551414889447122,-13.73531553843031,26.184465608147097,-33.22949174687604,3.515764436,1.774311024,,,,89.1,1068.0,6.4,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.13,,,,,,,,25,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,243.0,0.003,0.026,,,,,-0.026,,0,0,0.558,0.558,27,27,28,28,2,1,7.0,2.0,,,3.08,1.1,-1.1,47.8,,,,,
FF,2026-09-22,95.6,-1.84,6.01,"Cruz, Oneil",665833,669467,,called_strike,,,,,6.0,,R,L,R,PIT,STL,S,,,0,0,2026,-0.26,1.22,0.5485235432698833,2.48811953458308,,,668804.0,1,4,Bot,,,,,,,6.840346858509304,-139.0043580353278,-6.256322246566822,-4.877654581779097,30.01141629490895,-15.16196313237724,3.515764436,1.774311024,,,,96.1,2326.0,6.5,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.98,,,,,,,,25,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200.0,-0.005,-0.037,,,,,0.037,,0,0,0.563,0.563,27,27,28,28,2,1,7.0,2.0,,,1.27,0.26,-0.26,54.3,,,,,
SL,2026-09-22,88.2,-2.08,5.78,"Cruz, Oneil",665833,669467,strikeout,swinging_strike_blocked,,,,,13.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,STL,S,2.0,,2,2,2026,0.3,0.23,-0.6035197731852815,0.2518876379282155,,,,0,2,Bot,,,,,,,2.913607204916416,-128.30180206931405,-7.644253062341847,2.795746111297276,24.286565878589933,-28.31323907699637,3.515764436,1.774311024,,,,89.0,2422.0,6.6,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.89,,0.0,0.0,1.0,0.0,0.0,,10,5,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,121.0,-0.02,-0.232,29.2,7.2,7.520000352,,0.232,,0,0,0.548,0.548,27,27,28,28,1,0,7.0,2.0,,,2.68,-0.3,0.3,50.6,-11.926441296762098,13.432067783209488,42.4147733553134,39.769725644554015,16.472521056345855
