game_date,game_pk,player_name,batter,plate_appearances,hits,starting_pitcher_id,starting_pitcher_hand,starting_pitcher_rest_days,batter_rest_days,hits_vs_L,hits_vs_R,pas_vs_L,pas_vs_R
2026-03-26,823649,"Cruz, Oneil",665833,5,1,642547,R,,,0,1,0,5
2026-03-26,823649,"Davis, Henry",680779,4,1,642547,R,,,0,1,0,4
2026-03-26,823649,"Gonzales, Nick",693304,4,2,642547,R,,,0,2,0,4
2026-03-26,823649,"Horwitz, Spencer",687462,4,0,642547,R,,,0,0,0,4
2026-03-26,823649,"Lowe, Brandon",664040,4,2,642547,R,,,0,2,0,4
2026-03-26,823649,"O'Hearn, Ryan",656811,4,2,642547,R,,,0,2,0,4
2026-03-28,823651,"Cruz, Oneil",665833,1,0,642207,R,,2.0,0,0,0,1
2026-03-28,823651,"Davis, Henry",680779,1,0,472610,R,2.0,2.0,0,0,0,1
2026-03-28,823651,"Gonzales, Nick",693304,6,2,656849,L,2.0,2.0,1,1,5,1
2026-03-28,823651,"Lowe, Brandon",664040,5,1,656849,L,2.0,2.0,0,1,4,1
2026-03-28,823651,"Mangum, Jake",663968,5,2,656849,L,2.0,,1,1,2,3
2026-03-28,823651,"O'Hearn, Ryan",656811,6,1,656849,L,,2.0,1,0,4,2
2026-03-29,823647,"Cruz, Oneil",665833,5,1,690997,R,1.0,1.0,1,0,1,4
2026-03-29,823647,"Davis, Henry",680779,5,1,690997,R,1.0,1.0,1,0,1,4
2026-03-29,823647,"Gonzales, Nick",693304,5,0,690997,R,1.0,1.0,0,0,2,3
2026-03-29,823647,"Horwitz, Spencer",687462,3,0,690997,R,1.0,3.0,0,0,0,3
2026-03-29,823647,"Lowe, Brandon",664040,5,2,690997,R,1.0,1.0,0,2,1,4
2026-03-29,823647,"Mangum, Jake",663968,5,0,690997,R,1.0,1.0,0,0,1,4
2026-03-29,823647,"O'Hearn, Ryan",656811,5,3,690997,R,1.0,1.0,1,2,2,3
2026-03-30,824539,"Cruz, Oneil",665833,4,0,695505,R,2.0,1.0,0,0,0,4
2026-03-30,824539,"Davis, Henry",680779,3,0,695505,R,2.0,1.0,0,0,0,3
2026-03-30,824539,"Gonzales, Nick",693304,4,1,695505,R,2.0,1.0,0,1,0,4
2026-03-30,824539,"Horwitz, Spencer",687462,4,1,695505,R,2.0,1.0,0,1,0,4
2026-03-30,824539,"Lowe, Brandon",664040,4,1,695505,R,2.0,1.0,0,1,0,4
2026-03-30,824539,"O'Hearn, Ryan",656811,4,1,695505,R,2.0,1.0,0,1,0,4
2026-03-31,824537,"Cruz, Oneil",665833,4,3,682227,L,2.0,1.0,2,1,3,1
2026-03-31,824537,"Gonzales, Nick",693304,4,2,682227,L,2.0,1.0,1,1,3,1
2026-03-31,824537,"Horwitz, Spencer",687462,1,0,572955,R,2.0,1.0,0,0,0,1
2026-03-31,824537,"Lowe, Brandon",664040,4,0,682227,L,3.0,1.0,0,0,4,0
2026-03-31,824537,"Mangum, Jake",663968,5,1,682227,L,2.0,2.0,1,0,4,1
2026-03-31,824537,"O'Hearn, Ryan",656811,4,1,682227,L,2.0,1.0,1,0,4,0
2026-04-01,824536,"Cruz, Oneil",665833,5,2,671096,L,6.0,1.0,2,0,3,2
2026-04-01,824536,"Davis, Henry",680779,4,0,671096,L,6.0,2.0,0,0,2,2
2026-04-01,824536,"Gonzales, Nick",693304,5,2,671096,L,6.0,1.0,0,2,3,2
2026-04-01,824536,"Horwitz, Spencer",687462,4,1,671096,L,6.0,1.0,0,1,2,2
2026-04-01,824536,"Mangum, Jake",663968,5,0,671096,L,6.0,1.0,0,0,3,2
2026-04-03,823406,"Cruz, Oneil",665833,4,1,680694,R,6.0,2.0,0,1,0,4
2026-04-03,823406,"Davis, Henry",680779,3,1,680694,R,6.0,2.0,0,1,0,3
2026-04-03,823406,"Griffin, Konnor",804606,4,1,680694,R,6.0,,0,1,1,3
2026-04-03,823406,"Horwitz, Spencer",687462,4,0,680694,R,6.0,2.0,0,0,1,3
2026-04-03,823406,"Lowe, Brandon",664040,4,1,680694,R,6.0,3.0,0,1,1,3
2026-04-03,823406,"O'Hearn, Ryan",656811,4,0,680694,R,6.0,3.0,0,0,1,3
2026-04-04,823404,"Cruz, Oneil",665833,5,1,669358,R,6.0,1.0,1,0,1,4
2026-04-04,823404,"Gonzales, Nick",693304,4,0,669358,R,6.0,3.0,0,0,0,4
2026-04-04,823404,"Griffin, Konnor",804606,4,0,669358,R,6.0,1.0,0,0,0,4
2026-04-04,823404,"Horwitz, Spencer",687462,4,1,669358,R,6.0,1.0,0,1,0,4
2026-04-04,823404,"Lowe, Brandon",664040,5,0,669358,R,6.0,1.0,0,0,1,4
2026-04-04,823404,"Mangum, Jake",663968,1,0,689296,R,4.0,3.0,0,0,0,1
2026-04-04,823404,"O'Hearn, Ryan",656811,5,1,669358,R,6.0,1.0,0,1,1,4
2026-04-05,823405,"Cruz, Oneil",665833,5,2,700249,L,6.0,1.0,1,1,3,2
2026-04-05,823405,"Davis, Henry",680779,4,1,700249,L,6.0,2.0,0,1,3,1
2026-04-05,823405,"Griffin, Konnor",804606,4,0,700249,L,6.0,1.0,0,0,2,2
2026-04-05,823405,"Horwitz, Spencer",687462,4,1,700249,L,6.0,1.0,1,0,3,1
2026-04-05,823405,"Lowe, Brandon",664040,5,1,700249,L,6.0,1.0,1,0,3,2
2026-04-05,823405,"Mangum, Jake",663968,4,2,700249,L,6.0,1.0,1,1,3,1
2026-04-05,823405,"O'Hearn, Ryan",656811,5,2,700249,L,6.0,1.0,0,2,2,3
2026-04-06,823401,"Cruz, Oneil",665833,4,1,608566,R,6.0,1.0,0,1,0,4
2026-04-06,823401,"Davis, Henry",680779,3,0,608566,R,6.0,1.0,0,0,0,3
2026-04-06,823401,"Gonzales, Nick",693304,4,1,608566,R,6.0,2.0,0,1,0,4
2026-04-06,823401,"Griffin, Konnor",804606,4,0,608566,R,6.0,1.0,0,0,0,4
2026-04-06,823401,"Horwitz, Spencer",687462,4,2,608566,R,6.0,1.0,0,2,0,4
2026-04-06,823401,"Lowe, Brandon",664040,4,1,608566,R,6.0,1.0,0,1,0,4
2026-04-06,823401,"Mangum, Jake",663968,1,0,688158,R,6.0,1.0,0,0,0,1
2026-04-06,823401,"O'Hearn, Ryan",656811,4,1,608566,R,6.0,1.0,0,1,0,4
2026-04-07,823402,"Cruz, Oneil",665833,5,1,601713,R,6.0,1.0,0,1,1,4
