player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
James Wood*,23.0,WSN,NL,2.7,82.0,382.0,315.0,70.0,82.0,20.0,49.0,13.0,61.0,115.0,0.385,0.511,0.896,150.0,161.0,0.0,2.0,*9D7
Taylor Ward,32.0,BAL,AL,1.8,81.0,373.0,304.0,52.0,78.0,5.0,22.0,2.0,64.0,78.0,0.389,0.365,0.754,114.0,111.0,0.0,2.0,*7D
Gunnar Henderson*,25.0,BAL,AL,1.2,81.0,371.0,335.0,45.0,76.0,16.0,39.0,6.0,30.0,88.0,0.299,0.424,0.723,101.0,142.0,0.0,1.0,*6/D
Nick Kurtz*,23.0,ATH,AL,3.7,80.0,366.0,291.0,56.0,81.0,19.0,62.0,7.0,73.0,111.0,0.426,0.533,0.959,160.0,155.0,0.0,0.0,*3/D
Alex Bregman,32.0,CHC,NL,2.1,79.0,361.0,312.0,37.0,76.0,6.0,26.0,2.0,40.0,58.0,0.338,0.343,0.681,96.0,107.0,0.0,3.0,*5/DH
Nico Hoerner,29.0,CHC,NL,1.4,79.0,360.0,318.0,34.0,76.0,4.0,35.0,12.0,34.0,26.0,0.317,0.343,0.659,89.0,109.0,0.0,4.0,*4/6H
Yordan Alvarez*,29.0,HOU,AL,3.7,82.0,358.0,296.0,57.0,94.0,25.0,56.0,1.0,55.0,60.0,0.43,0.625,1.055,191.0,185.0,0.0,2.0,*D7
Zach Neto,25.0,LAA,AL,2.0,79.0,358.0,311.0,56.0,71.0,17.0,39.0,11.0,39.0,117.0,0.327,0.457,0.783,119.0,142.0,0.0,1.0,*6/H
Michael Busch*,28.0,CHC,NL,1.7,80.0,357.0,292.0,32.0,70.0,9.0,44.0,2.0,54.0,80.0,0.37,0.39,0.76,119.0,114.0,0.0,3.0,*3/H
Pete Alonso,31.0,BAL,AL,1.9,82.0,355.0,308.0,51.0,78.0,18.0,55.0,2.0,40.0,83.0,0.341,0.474,0.815,127.0,146.0,0.0,4.0,*3/D
Bo Bichette,28.0,NYM,NL,-0.1,81.0,354.0,327.0,42.0,83.0,10.0,45.0,1.0,21.0,65.0,0.299,0.388,0.688,91.0,127.0,0.0,4.0,65/D
Iván Herrera,26.0,STL,NL,2.4,78.0,354.0,283.0,53.0,74.0,10.0,35.0,5.0,48.0,55.0,0.404,0.42,0.824,135.0,119.0,0.0,2.0,D2
Julio Rodríguez,25.0,SEA,AL,2.0,81.0,354.0,324.0,42.0,80.0,14.0,38.0,11.0,26.0,74.0,0.308,0.423,0.731,107.0,137.0,0.0,1.0,*8/D
Pete Crow-Armstrong*,24.0,CHC,NL,5.1,81.0,350.0,307.0,49.0,88.0,17.0,45.0,18.0,32.0,90.0,0.367,0.521,0.888,151.0,160.0,1.0,2.0,*8/H
Bryan Reynolds#,31.0,PIT,NL,3.1,81.0,348.0,289.0,54.0,84.0,11.0,52.0,5.0,52.0,74.0,0.405,0.484,0.89,144.0,140.0,0.0,2.0,*79/DH
Trea Turner,33.0,PHI,NL,-0.2,79.0,348.0,324.0,50.0,75.0,7.0,23.0,15.0,21.0,79.0,0.282,0.336,0.618,68.0,109.0,0.0,1.0,*6/DH
Daylen Lile*,23.0,WSN,NL,1.0,80.0,346.0,314.0,43.0,79.0,8.0,38.0,7.0,24.0,58.0,0.309,0.401,0.711,98.0,126.0,0.0,4.0,*7D/9
Matt Olson*,32.0,ATL,NL,3.0,79.0,345.0,307.0,53.0,83.0,20.0,52.0,2.0,34.0,79.0,0.342,0.528,0.87,142.0,162.0,0.0,3.0,*3/9
Kevin McGonigle*,21.0,DET,AL,4.0,78.0,344.0,294.0,47.0,83.0,6.0,28.0,9.0,48.0,46.0,0.387,0.425,0.812,125.0,125.0,0.0,0.0,65/D
Andy Pages,25.0,LAD,NL,3.7,80.0,343.0,312.0,46.0,83.0,15.0,58.0,8.0,23.0,69.0,0.318,0.474,0.792,119.0,148.0,0.0,5.0,*8/H
Kyle Schwarber*,33.0,PHI,NL,2.5,77.0,343.0,290.0,52.0,74.0,29.0,52.0,1.0,49.0,117.0,0.37,0.593,0.963,157.0,172.0,0.0,0.0,*D/37H
Sal Stewart,22.0,CIN,NL,1.1,79.0,343.0,297.0,41.0,74.0,14.0,55.0,11.0,42.0,74.0,0.341,0.448,0.789,115.0,133.0,0.0,3.0,35/D4
Junior Caminero,22.0,TBR,AL,2.7,78.0,342.0,295.0,49.0,84.0,19.0,43.0,0.0,45.0,61.0,0.377,0.519,0.896,145.0,153.0,0.0,2.0,*5/3
