game_date,game_pk,player_name,batter,plate_appearances,hits,starting_pitcher_id,starting_pitcher_hand,starting_pitcher_rest_days,batter_rest_days,opp_hit_rate_last_5,opp_k_rate_last_5
2026-03-26,823649,"Cruz, Oneil",665833,5,1,642547,R,,,,
2026-03-26,823649,"Davis, Henry",680779,4,1,642547,R,,,,
2026-03-26,823649,"Gonzales, Nick",693304,4,2,642547,R,,,,
2026-03-26,823649,"Horwitz, Spencer",687462,4,0,642547,R,,,,
2026-03-26,823649,"Lowe, Brandon",664040,4,2,642547,R,,,,
2026-03-26,823649,"Reynolds, Bryan",668804,4,1,642547,R,,,,
2026-03-26,823649,"Triolo, Jared",669707,4,1,642547,R,,,,
2026-03-28,823651,"Cruz, Oneil",665833,1,0,642207,R,,2.0,,
2026-03-28,823651,"Davis, Henry",680779,1,0,472610,R,2.0,2.0,,
2026-03-28,823651,"Gonzales, Nick",693304,6,2,656849,L,2.0,2.0,,
2026-03-28,823651,"Lowe, Brandon",664040,5,1,656849,L,2.0,2.0,,
2026-03-28,823651,"Reynolds, Bryan",668804,6,2,656849,L,,2.0,,
2026-03-28,823651,"Triolo, Jared",669707,6,1,656849,L,,2.0,,
2026-03-29,823647,"Cruz, Oneil",665833,5,1,690997,R,1.0,1.0,,
2026-03-29,823647,"Davis, Henry",680779,5,1,690997,R,1.0,1.0,,
2026-03-29,823647,"Gonzales, Nick",693304,5,0,690997,R,1.0,1.0,,
2026-03-29,823647,"Horwitz, Spencer",687462,3,0,690997,R,1.0,3.0,,
2026-03-29,823647,"Lowe, Brandon",664040,5,2,690997,R,1.0,1.0,,
2026-03-29,823647,"Reynolds, Bryan",668804,5,0,690997,R,1.0,1.0,,
2026-03-29,823647,"Triolo, Jared",669707,5,0,690997,R,1.0,1.0,,
2026-03-30,824539,"Cruz, Oneil",665833,4,0,695505,R,2.0,1.0,,
2026-03-30,824539,"Davis, Henry",680779,3,0,695505,R,2.0,1.0,,
2026-03-30,824539,"Gonzales, Nick",693304,4,1,695505,R,2.0,1.0,,
2026-03-30,824539,"Horwitz, Spencer",687462,4,1,695505,R,2.0,1.0,,
2026-03-30,824539,"Lowe, Brandon",664040,4,1,695505,R,2.0,1.0,,
2026-03-30,824539,"Reynolds, Bryan",668804,4,0,695505,R,2.0,1.0,,
2026-03-30,824539,"Triolo, Jared",669707,4,0,695505,R,2.0,1.0,,
2026-03-31,824537,"Cruz, Oneil",665833,4,3,682227,L,2.0,1.0,,
2026-03-31,824537,"Gonzales, Nick",693304,4,2,682227,L,2.0,1.0,,
2026-03-31,824537,"Horwitz, Spencer",687462,1,0,572955,R,2.0,1.0,,
2026-03-31,824537,"Lowe, Brandon",664040,4,0,682227,L,3.0,1.0,,
2026-03-31,824537,"Reynolds, Bryan",668804,4,1,682227,L,3.0,1.0,,
2026-04-01,824536,"Cruz, Oneil",665833,5,2,671096,L,6.0,1.0,,
2026-04-01,824536,"Davis, Henry",680779,4,0,671096,L,6.0,2.0,,
2026-04-01,824536,"Gonzales, Nick",693304,5,2,671096,L,6.0,1.0,,
2026-04-01,824536,"Horwitz, Spencer",687462,4,1,671096,L,6.0,1.0,,
2026-04-01,824536,"Reynolds, Bryan",668804,5,2,671096,L,6.0,1.0,,
2026-04-01,824536,"Triolo, Jared",669707,4,1,671096,L,6.0,2.0,,
2026-04-03,823406,"Cruz, Oneil",665833,4,1,680694,R,6.0,2.0,,
2026-04-03,823406,"Davis, Henry",680779,3,1,680694,R,6.0,2.0,,
2026-04-03,823406,"Horwitz, Spencer",687462,4,0,680694,R,6.0,2.0,,
2026-04-03,823406,"Lowe, Brandon",664040,4,1,680694,R,6.0,3.0,,
2026-04-03,823406,"Reynolds, Bryan",668804,4,0,680694,R,6.0,2.0,,
2026-04-03,823406,"Triolo, Jared",669707,3,2,680694,R,6.0,2.0,,
2026-04-04,823404,"Cruz, Oneil",665833,5,1,669358,R,6.0,1.0,,
2026-04-04,823404,"Gonzales, Nick",693304,4,0,669358,R,6.0,3.0,,
2026-04-04,823404,"Horwitz, Spencer",687462,4,1,669358,R,6.0,1.0,,
2026-04-04,823404,"Lowe, Brandon",664040,5,0,669358,R,6.0,1.0,,
2026-04-04,823404,"Reynolds, Bryan",668804,5,3,669358,R,6.0,1.0,,
2026-04-05,823405,"Cruz, Oneil",665833,5,2,700249,L,6.0,1.0,,
2026-04-05,823405,"Davis, Henry",680779,4,1,700249,L,6.0,2.0,,
2026-04-05,823405,"Horwitz, Spencer",687462,4,1,700249,L,6.0,1.0,,
2026-04-05,823405,"Lowe, Brandon",664040,5,1,700249,L,6.0,1.0,,
2026-04-05,823405,"Reynolds, Bryan",668804,5,0,700249,L,6.0,1.0,,
2026-04-06,823401,"Cruz, Oneil",665833,4,1,608566,R,6.0,1.0,,
2026-04-06,823401,"Davis, Henry",680779,3,0,608566,R,6.0,1.0,,
2026-04-06,823401,"Gonzales, Nick",693304,4,1,608566,R,6.0,2.0,,
2026-04-06,823401,"Horwitz, Spencer",687462,4,2,608566,R,6.0,1.0,,
2026-04-06,823401,"Lowe, Brandon",664040,4,1,608566,R,6.0,1.0,,
2026-04-06,823401,"Reynolds, Bryan",668804,4,1,608566,R,6.0,1.0,,
2026-04-07,823402,"Cruz, Oneil",665833,5,1,601713,R,6.0,1.0,,
2026-04-07,823402,"Davis, Henry",680779,4,2,601713,R,6.0,1.0,,
2026-04-07,823402,"Gonzales, Nick",693304,4,1,601713,R,6.0,1.0,,
2026-04-07,823402,"Horwitz, Spencer",687462,3,1,601713,R,6.0,1.0,,
2026-04-07,823402,"Lowe, Brandon",664040,4,0,601713,R,6.0,1.0,,
2026-04-07,823402,"Reynolds, Bryan",668804,4,1,601713,R,6.0,1.0,,
2026-04-08,823403,"Cruz, Oneil",665833,4,1,650633,R,5.0,1.0,,
2026-04-08,823403,"Gonzales, Nick",693304,4,1,650633,R,5.0,1.0,,
2026-04-08,823403,"Horwitz, Spencer",687462,2,0,650633,R,5.0,1.0,,
2026-04-08,823403,"Lowe, Brandon",664040,4,0,650633,R,5.0,1.0,,
2026-04-08,823403,"Reynolds, Bryan",668804,4,0,650633,R,5.0,1.0,,
2026-04-10,824695,"Cruz, Oneil",665833,3,1,684007,L,5.0,2.0,,
2026-04-10,824695,"Gonzales, Nick",693304,3,0,684007,L,5.0,2.0,,
2026-04-10,824695,"Reynolds, Bryan",668804,4,1,684007,L,5.0,2.0,,
2026-04-11,824697,"Cruz, Oneil",665833,6,4,665795,R,6.0,1.0,,
2026-04-11,824697,"Davis, Henry",680779,4,0,665795,R,6.0,4.0,,
2026-04-11,824697,"Gonzales, Nick",693304,1,0,694037,R,6.0,1.0,,
2026-04-11,824697,"Horwitz, Spencer",687462,4,1,665795,R,6.0,3.0,,
2026-04-11,824697,"Lowe, Brandon",664040,6,0,665795,R,6.0,3.0,,
2026-04-11,824697,"Reynolds, Bryan",668804,5,2,665795,R,6.0,1.0,,
2026-04-12,824696,"Cruz, Oneil",665833,5,1,592791,R,6.0,1.0,,
2026-04-12,824696,"Horwitz, Spencer",687462,4,0,592791,R,6.0,1.0,,
