Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,James Wood*,23,WSN,NL,2.7,82,382,315,70,82,19,0,20,49,13,1,61,115,.260,.385,.511,.896,150,.390,146,161,2,4,0,2,8,*9D7,,woodja03
2,Taylor Ward,32,BAL,AL,1.8,81,373,304,52,78,18,0,5,22,2,2,64,78,.257,.389,.365,.754,114,.345,119,111,7,3,0,2,1,*7D,,wardta01
3,Gunnar Henderson*,25,BAL,AL,1.2,81,371,335,45,76,14,2,16,39,6,4,30,88,.227,.299,.424,.723,101,.320,102,142,3,5,0,1,1,*6/D,,hendegu01
4,Nick Kurtz*,23,ATH,AL,3.7,80,366,291,56,81,15,1,19,62,7,1,73,111,.278,.426,.533,.959,160,.418,160,155,5,2,0,0,9,*3/D,,kurtzni01
5,Alex Bregman,32,CHC,NL,2.1,79,361,312,37,76,11,1,6,26,2,1,40,58,.244,.338,.343,.681,96,.313,100,107,9,6,0,3,2,*5/DH,,bregmal01
6,Nico Hoerner,29,CHC,NL,1.4,79,360,318,34,76,21,0,4,35,12,2,34,26,.239,.317,.343,.659,89,.311,95,109,7,4,0,4,0,*4/6H,,hoernni01
7,Yordan Alvarez*,29,HOU,AL,3.7,82,358,296,57,94,16,0,25,56,1,0,55,60,.318,.430,.625,1.055,191,.446,190,185,2,5,0,2,13,*D7,,alvaryo01
8,Zach Neto,25,LAA,AL,2.0,79,358,311,56,71,16,2,17,39,11,7,39,117,.228,.327,.457,.783,119,.342,119,142,2,7,0,1,1,*6/H,,netoza01
9,Michael Busch*,28,CHC,NL,1.7,80,357,292,32,70,13,2,9,44,2,0,54,80,.240,.370,.390,.760,119,.350,125,114,4,8,0,3,1,*3/H,,buschmi02
10,Pete Alonso,31,BAL,AL,1.9,82,355,308,51,78,14,0,18,55,2,0,40,83,.253,.341,.474,.815,127,.354,123,146,8,3,0,4,2,*3/D,,alonspe01
11,Bo Bichette,28,NYM,NL,-0.1,81,354,327,42,83,12,1,10,45,1,0,21,65,.254,.299,.388,.688,91,.301,86,127,9,2,0,4,0,65/D,,bichebo01
12,Iván Herrera,26,STL,NL,2.4,78,354,283,53,74,13,1,10,35,5,0,48,55,.261,.404,.420,.824,135,.382,145,119,8,21,0,2,4,D2,,herreiv01
13,Julio Rodríguez,25,SEA,AL,2.0,81,354,324,42,80,15,0,14,38,11,3,26,74,.247,.308,.423,.731,107,.329,109,137,7,3,0,1,1,*8/D,,rodriju01
14,Pete Crow-Armstrong*,24,CHC,NL,5.1,81,350,307,49,88,13,4,17,45,18,5,32,90,.287,.367,.521,.888,151,.388,150,160,2,8,1,2,1,*8/H,,crowape01
15,Bryan Reynolds#,31,PIT,NL,3.1,81,348,289,54,84,19,2,11,52,5,0,52,74,.291,.405,.484,.890,144,.399,150,140,4,5,0,2,2,*79/DH,,reynobr01
16,Trea Turner,33,PHI,NL,-0.2,79,348,324,50,75,13,0,7,23,15,2,21,79,.231,.282,.336,.618,68,.287,64,109,4,2,0,1,0,*6/DH,,turnetr01
17,Daylen Lile*,23,WSN,NL,1.0,80,346,314,43,79,17,3,8,38,7,5,24,58,.252,.309,.401,.711,98,.309,95,126,4,4,0,4,1,*7D/9,,lileda01
